2026-04-15T14:56:10 UTC | INFO     | main | ============================================================
2026-04-15T14:56:10 UTC | INFO     | main | AUTOMATED STOCK RESEARCH SYSTEM — starting run
2026-04-15T14:56:10 UTC | INFO     | main | DISCLAIMER: This system does NOT perform trading, does NOT give investment advice, and does NOT make price predictions. It is a research data aggregation and scoring tool only.
2026-04-15T14:56:10 UTC | INFO     | main | ============================================================
2026-04-15T14:56:10 UTC | INFO     | main | [SCHEDULER] Time gate passed — matched slot 9:45-11:15
2026-04-15T14:56:10 UTC | WARNING  | main | Validated tickers file is 36 days old (limit 30). Consider re-running validate_tickers.py.
2026-04-15T14:56:10 UTC | INFO     | main | Run slot: 9:45-11:15
2026-04-15T14:56:10 UTC | INFO     | state_manager | New trading day (2026-04-15) — resetting state
2026-04-15T14:56:10 UTC | INFO     | market_collector | Index dow: 48347.03 Falling (-0.39%)
2026-04-15T14:56:10 UTC | INFO     | market_collector | Index sp500: 6991.92 Rising (+0.35%)
2026-04-15T14:56:10 UTC | INFO     | market_collector | Index nasdaq: 23853.30 Rising (+0.91%)
2026-04-15T14:56:11 UTC | INFO     | market_regime | VIX fetched: 17.89
2026-04-15T14:56:11 UTC | INFO     | market_regime | Regime: normal vix=17.89 risk_mult=1.0 opp_mult=1.0
2026-04-15T14:56:11 UTC | INFO     | main | Regime: normal vix=17.89
2026-04-15T14:56:37 UTC | INFO     | market_breadth | Market breadth: 47/130 advancing (0.36) — weak breadth — most stocks declining
2026-04-15T14:56:37 UTC | INFO     | spy_sma | [SPY] price=696.90 sma200=662.26 above=True
2026-04-15T14:56:42 UTC | INFO     | market_breadth | [B200] 83/125 above 200d SMA = 66.4%
2026-04-15T14:56:42 UTC | INFO     | market_regime_classifier | [MRC] regime=BULL score=3 spy_above=True vix=17.89 breadth_pct=66.4
2026-04-15T14:56:42 UTC | INFO     | main | [MR] market_regime=BULL score=3 breadth_pct=66.4
2026-04-15T14:56:42 UTC | INFO     | sector_breadth_ma | Sector breadth MA technology: 8/10 = 0.80 (sector is genuinely strong)
2026-04-15T14:56:43 UTC | INFO     | sector_breadth_ma | Sector breadth MA semiconductors: 9/10 = 0.90 (sector is genuinely strong)
2026-04-15T14:56:44 UTC | INFO     | sector_breadth_ma | Sector breadth MA healthcare: 2/10 = 0.20 (sector is structurally weak)
2026-04-15T14:56:45 UTC | INFO     | sector_breadth_ma | Sector breadth MA financials: 7/10 = 0.70 (healthy participation)
2026-04-15T14:56:46 UTC | INFO     | sector_breadth_ma | Sector breadth MA consumer_discretionary: 5/10 = 0.50 (mixed signals)
2026-04-15T14:56:48 UTC | INFO     | sector_breadth_ma | Sector breadth MA consumer_staples: 0/10 = 0.00 (sector is structurally weak)
2026-04-15T14:56:49 UTC | INFO     | sector_breadth_ma | Sector breadth MA industrials: 5/10 = 0.50 (mixed signals)
2026-04-15T14:56:50 UTC | INFO     | sector_breadth_ma | Sector breadth MA defense: 2/10 = 0.20 (sector is structurally weak)
2026-04-15T14:56:51 UTC | INFO     | sector_breadth_ma | Sector breadth MA energy: 7/10 = 0.70 (healthy participation)
2026-04-15T14:56:52 UTC | INFO     | sector_breadth_ma | Sector breadth MA materials: 6/10 = 0.60 (healthy participation)
2026-04-15T14:56:53 UTC | INFO     | sector_breadth_ma | Sector breadth MA utilities: 6/10 = 0.60 (healthy participation)
2026-04-15T14:56:54 UTC | INFO     | sector_breadth_ma | Sector breadth MA real_estate: 8/10 = 0.80 (sector is genuinely strong)
2026-04-15T14:56:55 UTC | INFO     | sector_breadth_ma | Sector breadth MA communication_services: 4/10 = 0.40 (mixed signals)
2026-04-15T14:56:57 UTC | INFO     | sector_momentum | Top 5 sectors: ['semiconductors', 'technology', 'consumer_discretionary', 'communication_services', 'real_estate']
2026-04-15T14:56:57 UTC | INFO     | sector_momentum | Sector momentum history updated (6 entries)
2026-04-15T14:56:57 UTC | INFO     | sector_rotation_speed | Rotation technology: rank 4 -> 2 speed=2 (gaining momentum)
2026-04-15T14:56:57 UTC | INFO     | sector_rotation_speed | Rotation healthcare: rank 7 -> 11 speed=-4 (rapidly losing strength)
2026-04-15T14:56:57 UTC | INFO     | sector_rotation_speed | Rotation financials: rank 3 -> 6 speed=-3 (losing momentum)
2026-04-15T14:56:57 UTC | INFO     | sector_rotation_speed | Rotation consumer_discretionary: rank 8 -> 3 speed=5 (rapidly gaining strength)
2026-04-15T14:56:57 UTC | INFO     | sector_rotation_speed | Rotation consumer_staples: rank 10 -> 12 speed=-2 (losing momentum)
2026-04-15T14:56:57 UTC | INFO     | sector_rotation_speed | Rotation industrials: rank 6 -> 8 speed=-2 (losing momentum)
2026-04-15T14:56:57 UTC | INFO     | sector_rotation_speed | Rotation materials: rank 13 -> 9 speed=4 (rapidly gaining strength)
2026-04-15T14:56:57 UTC | INFO     | sector_rotation_speed | Rotation energy: rank 1 -> 13 speed=-12 (rapidly losing strength)
2026-04-15T14:56:57 UTC | INFO     | sector_rotation_speed | Rotation utilities: rank 12 -> 10 speed=2 (gaining momentum)
2026-04-15T14:56:57 UTC | INFO     | sector_rotation_speed | Rotation real_estate: rank 9 -> 5 speed=4 (rapidly gaining strength)
2026-04-15T14:56:57 UTC | INFO     | sector_rotation_speed | Rotation communication_services: rank 5 -> 4 speed=1 (stable)
2026-04-15T14:56:57 UTC | INFO     | sector_rotation_speed | Rotation semiconductors: rank 2 -> 1 speed=1 (stable)
2026-04-15T14:56:57 UTC | INFO     | sector_rotation_speed | Rotation defense: rank 11 -> 7 speed=4 (rapidly gaining strength)
2026-04-15T14:56:57 UTC | INFO     | news_collector | reuters RSS: fetched 0 articles
2026-04-15T14:56:58 UTC | INFO     | news_collector | ft RSS: fetched 12 articles
2026-04-15T14:56:58 UTC | INFO     | news_collector | Finnhub: fetched 100 articles
2026-04-15T14:56:58 UTC | INFO     | news_collector | Filter: 112 raw → 48 passed
2026-04-15T14:56:58 UTC | INFO     | news_collector | Dedup: 48 → 48 articles
2026-04-15T14:56:58 UTC | INFO     | news_collector | Sector confirmed: financials score=46.1 headlines=19
2026-04-15T14:56:58 UTC | INFO     | news_collector | Sector confirmed: real_estate score=29.2 headlines=12
2026-04-15T14:56:58 UTC | INFO     | news_collector | Sector confirmed: consumer_discretionary score=56.7 headlines=26
2026-04-15T14:56:58 UTC | INFO     | news_collector | Sector confirmed: utilities score=32.4 headlines=17
2026-04-15T14:56:58 UTC | INFO     | news_collector | Sector confirmed: consumer_staples score=13.7 headlines=8
2026-04-15T14:56:58 UTC | INFO     | news_collector | Sector confirmed: technology score=37.2 headlines=14
2026-04-15T14:56:58 UTC | INFO     | news_collector | Sector confirmed: semiconductors score=7.2 headlines=2
2026-04-15T14:56:58 UTC | INFO     | news_collector | Sector confirmed: communication_services score=6.0 headlines=2
2026-04-15T14:56:58 UTC | INFO     | news_collector | Sector confirmed: industrials score=20.6 headlines=12
2026-04-15T14:56:58 UTC | INFO     | news_collector | Sector confirmed: defense score=8.1 headlines=2
2026-04-15T14:56:58 UTC | INFO     | news_collector | Sector confirmed: energy score=11.2 headlines=5
2026-04-15T14:56:58 UTC | INFO     | news_collector | Sector confirmed: materials score=10.9 headlines=6
2026-04-15T14:56:58 UTC | INFO     | news_collector | Confirmed sectors: ['financials', 'real_estate', 'consumer_discretionary', 'utilities', 'consumer_staples', 'technology', 'semiconductors', 'communication_services', 'industrials', 'defense', 'energy', 'materials']
2026-04-15T14:56:58 UTC | INFO     | market_collector | get_index_history dow: 30 points
2026-04-15T14:56:58 UTC | INFO     | market_collector | get_index_history sp500: 30 points
2026-04-15T14:56:58 UTC | INFO     | market_collector | get_index_history nasdaq: 30 points
2026-04-15T14:56:58 UTC | INFO     | main | News: 48 articles, 12 candidate sectors
2026-04-15T14:56:58 UTC | INFO     | news_impact_scorer | SPY day move: 0.35%
2026-04-15T14:56:58 UTC | INFO     | news_impact_scorer | Impact [financials]: sources=19 kw=46.1 spy=0.35% → impact=0.753 ✓ passes
2026-04-15T14:56:58 UTC | INFO     | news_impact_scorer | Impact [real_estate]: sources=12 kw=29.2 spy=0.35% → impact=0.753 ✓ passes
2026-04-15T14:56:58 UTC | INFO     | news_impact_scorer | Impact [consumer_discretionary]: sources=26 kw=56.6 spy=0.35% → impact=0.753 ✓ passes
