2026-04-09T00:27:34 UTC | INFO     | main | ============================================================
2026-04-09T00:27:34 UTC | INFO     | main | AUTOMATED STOCK RESEARCH SYSTEM — starting run
2026-04-09T00:27:34 UTC | INFO     | main | DISCLAIMER: This system does NOT perform trading, does NOT give investment advice, and does NOT make price predictions. It is a research data aggregation and scoring tool only.
2026-04-09T00:27:34 UTC | INFO     | main | ============================================================
2026-04-09T00:27:34 UTC | INFO     | main | [DEBUG] FORCE_TICKERS detected — entering debug mode
2026-04-09T00:27:34 UTC | INFO     | state_manager | New trading day (2026-04-09) — resetting state
2026-04-09T00:27:34 UTC | INFO     | main | [DEBUG] Using slot: 9:45-11:15
2026-04-09T00:27:34 UTC | INFO     | main | [DEBUG] Force-ticker mode active — tickers: ['XOM', 'CVX', 'COP']
2026-04-09T00:27:34 UTC | INFO     | main | [DEBUG] Skipping all sector/news gates
2026-04-09T00:27:35 UTC | INFO     | market_collector | Index dow: 47909.92 Rising (+2.85%)
2026-04-09T00:27:35 UTC | INFO     | market_collector | Index sp500: 6782.81 Rising (+2.51%)
2026-04-09T00:27:35 UTC | INFO     | market_collector | Index nasdaq: 22634.99 Rising (+2.80%)
2026-04-09T00:27:35 UTC | INFO     | market_regime | VIX fetched: 21.04
2026-04-09T00:27:35 UTC | INFO     | market_regime | Regime: normal vix=21.04 risk_mult=1.0 opp_mult=1.0
2026-04-09T00:27:59 UTC | INFO     | market_breadth | Market breadth: 110/130 advancing (0.85) — strong breadth — most stocks rising
2026-04-09T00:27:59 UTC | INFO     | spy_sma | [SPY] price=676.01 sma200=660.16 above=True
2026-04-09T00:28:03 UTC | INFO     | market_breadth | [B200] 85/125 above 200d SMA = 68.0%
2026-04-09T00:28:03 UTC | INFO     | market_regime_classifier | [MRC] regime=BULL score=2 spy_above=True vix=21.04 breadth_pct=68.0
2026-04-09T00:28:03 UTC | INFO     | main | [MR] market_regime=BULL score=2 breadth_pct=68.0
2026-04-09T00:28:04 UTC | INFO     | sector_breadth_ma | Sector breadth MA technology: 3/10 = 0.30 (mixed signals)
2026-04-09T00:28:05 UTC | INFO     | sector_breadth_ma | Sector breadth MA semiconductors: 8/10 = 0.80 (sector is genuinely strong)
